timestamp,usage
2017-06-04 07:00:00,1090.0
2017-06-04 08:00:00,2016.0
2017-06-04 09:00:00,2811.0
2017-06-04 10:00:00,3178.0
2017-06-04 11:00:00,3257.0
2017-06-04 12:00:00,3260.0
2017-06-04 13:00:00,3241.0
2017-06-04 14:00:00,3154.0
2017-06-04 15:00:00,2848.0
2017-06-04 16:00:00,2665.0
2017-06-05 07:00:00,1113.0
2017-06-05 08:00:00,1608.0
2017-06-05 09:00:00,2561.0
2017-06-05 10:00:00,3126.0
2017-06-05 11:00:00,3203.0
2017-06-05 12:00:00,3222.0
2017-06-05 13:00:00,3155.0
2017-06-05 14:00:00,3081.0
2017-06-05 15:00:00,2791.0
2017-06-05 16:00:00,2580.0
2017-06-06 07:00:00,1126.0
2017-06-06 08:00:00,1983.0
2017-06-06 09:00:00,2426.0
2017-06-06 10:00:00,2966.0
2017-06-06 11:00:00,3052.0
2017-06-06 12:00:00,3146.0
2017-06-06 13:00:00,3143.0
2017-06-06 14:00:00,3064.0
2017-06-06 15:00:00,2930.0
2017-06-06 16:00:00,2551.0
2017-06-07 07:00:00,1029.923095703125
2017-06-07 08:00:00,1418.0
2017-06-07 09:00:00,2380.0
2017-06-07 10:00:00,2600.0
2017-06-07 11:00:00,2647.0
2017-06-07 12:00:00,2678.0
2017-06-07 13:00:00,2685.0
2017-06-07 14:00:00,2591.0
2017-06-07 15:00:00,2364.0
2017-06-07 16:00:00,1839.0
2017-06-08 07:00:00,533.0
2017-06-08 08:00:00,671.0
2017-06-08 09:00:00,772.0
2017-06-08 10:00:00,1078.0
2017-06-08 11:00:00,1199.0
2017-06-08 12:00:00,1405.0
2017-06-08 13:00:00,1510.0
2017-06-08 14:00:00,1609.0
2017-06-08 15:00:00,1586.0
2017-06-08 16:00:00,1473.0
2017-06-09 07:00:00,1029.923095703125
2017-06-09 08:00:00,570.0
2017-06-09 09:00:00,604.0
2017-06-09 10:00:00,635.0
2017-06-09 11:00:00,796.0
2017-06-09 12:00:00,859.0
2017-06-09 13:00:00,892.0
2017-06-09 14:00:00,939.0
2017-06-09 15:00:00,898.0
2017-06-09 16:00:00,770.0
2017-06-10 07:00:00,1029.923095703125
2017-06-10 08:00:00,1433.0
2017-06-10 09:00:00,2367.0
2017-06-10 10:00:00,2912.0
2017-06-10 11:00:00,3001.0
2017-06-10 12:00:00,3023.0
2017-06-10 13:00:00,3033.0
2017-06-10 14:00:00,2976.0
2017-06-10 15:00:00,2694.0
2017-06-10 16:00:00,2247.0
2017-06-11 07:00:00,1029.923095703125
2017-06-11 08:00:00,1941.0
2017-06-11 09:00:00,2827.0
2017-06-11 10:00:00,3106.0
2017-06-11 11:00:00,3164.0
2017-06-11 12:00:00,3217.0
2017-06-11 13:00:00,3206.0
2017-06-11 14:00:00,3138.0
2017-06-11 15:00:00,2920.0
2017-06-11 16:00:00,2581.0
